344	552	744	1136	1720	3192	5048	
280	424	664	976	1472	2864	5232	
1152	1760	2520	3616	5272	7832	12080	
256	416	560	920	1816	3744	6936	
384	464	704	1152	2104	3424	6360	
280	368	552	904	1352	2832	5464	
1144	1744	2616	3920	5800	8288	12432	
280	424	600	928	1712	3432	5936	
272	312	632	944	1632	2944	5776	
312	320	496	768	1224	2008	3240	
1256	1912	2904	4192	6144	8744	13336	
240	312	480	864	1552	3184	6104	
240	424	728	976	1760	3296	5648	
328	544	992	1440	2520	4200	6376	
1336	2120	3144	4600	6632	9768	14920	
344	488	744	1024	2000	3448	6176	
384	776	1296	2288	4064	7648	15144	
360	528	928	1296	2312	3472	5152	
1432	2352	3344	4968	7384	10960	16576	
432	792	1032	1656	3056	5336	10208	
272	544	800	1552	2424	4456	7680	
344	440	1080	1760	3048	5056	8160	
1496	2328	3424	4968	7552	11096	17168	
232	488	760	1416	2480	4472	7768	
296	744	960	1688	2632	4832	8576	
480	472	880	1352	2384	3704	6904	
1680	2664	3776	5464	8080	11776	17976	
416	768	1288	2048	3456	6008	10336	
520	808	1328	2208	3256	5088	7952	
744	1224	1904	2984	5328	8440	13152	
1936	3016	4344	6512	9352	13640	20472	
816	1520	2328	3560	5272	8832	15024	
1200	1560	2648	3808	5952	8520	13416	
944	1528	2272	3760	5520	8848	13424	
2448	3848	5496	8144	11672	16992	25752	
1080	1624	2744	4152	6528	10816	17840	
1152	1656	2808	4184	6192	9832	15048	
1192	2064	3024	5184	7920	12104	19680	
2632	3944	5984	8928	13040	19200	29272	
1280	1920	2968	4520	6912	10920	17144	
1128	2136	3376	5344	7936	12776	20192	
1160	2024	2904	4160	6656	10632	15664	
2688	4040	5976	8800	12928	19032	28992	
1096	1704	2856	4472	7200	10928	17400	
1160	1696	2648	4520	6496	10128	16144	
920	1672	2144	3176	5032	7704	11752	
2392	3672	5184	7440	10632	15496	23456	
1120	1800	2720	4304	6696	10736	16824	
1176	1712	2376	3640	5624	8856	14264	
1128	1560	2312	3408	5400	8656	14032	
2008	2872	4144	5568	8144	11904	17912	
1144	1880	2752	4008	5992	9776	16232	
1288	1800	2824	4192	6424	9880	15160	
1208	1936	2688	4120	6232	9096	14400	
2376	3800	5536	7704	11176	16480	24600	
1496	2064	2984	4760	7328	11704	18512	
1152	1600	2632	3632	5768	7920	12200	
848	1512	2424	3496	5760	8824	13320	
2208	3480	5280	7944	12032	17640	26544	
880	1464	2600	4216	6672	11432	18672	
408	416	824	1608	2592	4312	6600	
448	688	1288	2352	4128	8008	14424	
2120	3360	5096	7448	11024	16304	25240	
808	1568	3032	4864	8376	13384	20552	
184	584	968	1912	3256	5784	9720	
256	568	832	1464	2640	4624	7368	
2576	4056	6224	9304	13832	20272	30056	
360	712	1144	1568	2560	4488	6856	
936	1248	2032	3384	5784	10184	16400	
696	1032	1552	2656	4128	6968	11520	
2776	4576	6648	9856	14424	21032	31920	
648	1032	1688	2448	3800	5664	8888	
624	1304	1888	3216	5648	8784	13840	
776	1416	2432	3928	6560	11528	20616	
3264	5088	7488	10920	15968	23384	35128	
424	768	1360	2536	4592	7520	12128	
728	1248	1888	3024	4712	8272	12856	
640	1280	2000	3280	5808	9880	15856	
2976	4816	6840	10448	14944	21752	32592	
696	1200	1816	3288	5672	9936	16616	
576	928	1448	2400	3384	5992	11192	
856	960	1416	2656	4704	8952	14776	
2736	4344	6440	9560	13792	19888	29960	
344	624	1184	2240	3688	6784	11552	
496	864	1176	1976	3736	6400	10984	
448	688	1016	1616	3640	6848	12288	
2312	3824	5400	7896	11736	16912	25352	
392	928	1256	2232	3960	6384	9704	
664	1008	1456	2312	3632	6072	10640	
512	928	1368	2312	3888	6856	11480	
2152	3576	5248	7520	10888	16192	24208	
416	904	1280	2112	3560	6224	10624	
520	776	1152	1928	3344	5688	10864	
600	712	1168	1584	2536	4504	7904	
1920	2880	4208	6160	8800	13160	19696	
440	776	1192	2120	3256	5640	9664	
408	568	1152	1400	2784	4176	7472	
440	840	1056	1688	2664	5264	8960	
1664	2368	3448	4928	7288	10464	16392	
280	528	712	1536	2680	5104	9192	
280	424	784	1136	1872	3520	5928	
424	584	848	1344	2560	4560	8176	
1488	2344	3544	5064	7488	10736	16752	
368	400	600	1024	1576	3096	5792	
272	648	872	1640	2648	5248	8536	
288	232	624	1056	2064	3520	6528	
1408	2208	3232	4696	7160	10584	15872	
176	456	832	1568	2840	5112	9544	
352	600	1024	1536	2296	4088	7128	
280	528	832	1464	2424	4200	8456	
1456	2128	3432	5040	7504	10664	16664	
256	632	720	1168	2056	3704	6416	
416	648	1096	1800	3072	5648	9936	
232	408	448	824	1256	3072	5608	
1440	2328	3320	5160	7736	11400	16952	
440	560	832	1168	2240	3536	6864	
368	544	840	1288	2136	3904	6472	
256	536	736	1208	2016	3776	6680	
1608	2392	3816	5856	8496	12600	18872	
304	616	792	1520	2832	5128	8656	
312	392	664	1032	2032	3848	7208	
288	208	536	1000	1560	2992	6000	
1512	2240	3328	4856	7360	10496	15928	
296	432	552	720	928	2144	4000	
160	184	496	936	2592	4384	7992	
136	208	432	632	960	1976	3336	
1440	2168	3176	4696	6920	10360	15912	
288	424	544	936	1536	2720	5192	
256	560	560	784	1840	3416	6336	
320	344	688	880	1104	2048	3864	
1272	2008	3096	4408	6640	9480	14568	
424	488	712	1136	1944	2912	5872	
232	464	576	912	1288	2640	4832	
360	432	680	1120	1952	3584	6416	
1168	1704	2440	3648	5320	7648	11976	
192	416	600	992	1840	3040	5480	
496	856	1072	1512	2472	3904	6720	
280	496	776	1224	1976	3688	6512	
1016	1376	2032	2952	4224	6272	9656	
400	568	848	1200	2048	3488	6040	
160	288	416	752	1096	1976	3784	
168	288	528	632	1304	2192	3960	
904	1448	2080	3056	4544	6720	10416	
256	280	536	848	1328	2704	4792	
256	464	768	1064	1680	2664	4728	
184	368	624	1008	1640	2904	5056	
1072	1576	2272	3296	5112	7440	11512	
384	512	880	1296	2112	3488	5896	
344	632	696	920	1544	2528	4992	
368	392	672	1200	1848	3376	5568	
872	1264	1928	2848	4208	6408	10320	
304	384	680	776	1256	2240	4280	
272	264	448	528	1272	2216	4032	
192	336	552	632	1096	2184	4248	
1392	1736	2392	3344	4640	6696	10344	
248	280	512	824	1368	2480	4936	
264	360	600	704	1504	2808	4528	
256	304	632	720	1432	2352	4168	
800	1312	1968	2848	4104	6352	9840	
216	248	576	928	1888	3384	6288	
176	216	368	736	1232	2416	4512	
232	368	504	656	1296	2640	4376	
872	1448	2224	3440	4808	7216	11640	
272	280	456	720	1176	2048	3784	
192	296	568	880	1352	2376	4552	
296	392	472	808	1312	2416	4432	
1000	1576	2392	3600	5240	7872	12544	
296	408	816	976	1824	2864	5192	
376	488	760	1040	1720	3200	5520	
400	496	720	1296	2128	4056	6608	
1024	1680	2504	3736	5448	7960	12552	
264	456	512	800	1512	3088	5632	
312	536	848	1352	2432	4128	7744	
328	440	632	880	1296	2504	4392	
1000	1664	2352	3504	5120	7624	11776	
80	208	384	576	1184	2128	4088	
272	344	512	992	1608	3352	7072	
184	400	488	1000	1632	2824	5096	
1016	1608	2312	3616	5448	8184	12736	
184	224	352	496	984	1696	3104	
144	256	400	720	1216	2232	4344	
232	384	528	792	1496	2280	4096	
952	1584	2352	3384	5128	7832	12168	
248	328	576	832	1152	2288	3880	
224	296	560	824	1488	2968	5456	
320	448	800	1232	2304	4136	7936	
1000	1664	2544	3896	5752	8352	12568	
312	376	608	920	1648	2768	5128	
296	456	696	1080	1456	2696	4528	
216	496	656	832	1800	2784	5024	
1144	1776	2656	4040	5848	8552	13320	
232	432	720	984	1680	3288	5600	
224	536	728	1152	1984	3904	6488	
232	368	632	1200	2120	3432	6088	
1168	2072	3088	4480	6744	9976	15136	
328	400	536	1008	1672	3088	5208	
336	464	872	1168	2192	3832	6592	
208	328	512	784	1424	2416	5032	
1264	2112	3240	4928	7288	10712	16520	
248	456	568	1008	1896	3616	6576	
224	336	528	888	1488	3184	5808	
232	536	584	704	1392	3016	5112	
1248	2152	3336	4840	7240	10808	16880	
232	392	624	1112	1840	3208	5712	
248	432	632	1264	1608	3040	5568	
384	584	944	1368	2416	4616	7848	
1488	2472	3760	5600	8288	12056	18760	
352	560	936	1704	2704	4104	6528	
408	696	1112	1728	3168	5552	9096	
448	752	1264	1744	2856	5376	9792	
1456	2464	3640	5584	8664	12968	19448	
416	624	1208	2232	3952	7104	12864	
528	904	1416	2376	3600	6104	10520	
296	528	688	1288	2240	4192	7096	
1192	1904	2824	4080	6040	8944	13872	
416	728	1016	2056	3440	5720	9232	
288	392	584	1176	1712	3176	5552	
272	400	624	896	1568	2616	5944	
1144	1896	2776	4200	6200	9104	13560	
360	416	736	1216	2176	3744	6952	
288	456	776	1272	1992	3528	5440	
432	744	1144	1936	3088	5344	9288	
1352	2128	3112	4648	6904	9968	15176	
304	512	840	1592	2984	5056	9032	
296	576	1064	1648	3296	5632	10224	
376	504	816	1352	2008	3584	6800	
1416	2216	3360	4768	7000	10776	16760	
328	560	888	1656	2936	4720	8064	
440	832	1184	2016	3128	5152	8888	
600	864	1368	2032	3672	6760	12160	
1416	2256	3232	4864	7192	10536	16256	
208	512	984	1904	3040	5488	9120	
304	544	776	1432	2344	4424	7776	
408	552	888	1528	2472	5120	8816	
1312	2008	2952	4296	6320	9384	14368	
