fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2	est_phi_ins	est_theta_ins	err_ins	est_phi_ins_2	est_theta_ins_2	err_ins_2
130	4	46.34	-35	0	-29	0	6.00	-28	0	7.00	-38	0	3.00	-37	0	2.00	
131	4	46.34	-35	0	-29	0	6.00	-27	0	8.00	-38	0	3.00	-36	0	1.00	
132	4	46.34	-35	0	-28	0	7.00	-26	0	9.00	-38	0	3.00	-36	0	1.00	
133	4	46.34	-35	0	-28	0	7.00	-25	0	10.00	-38	0	3.00	-35	0	0.00	
134	4	46.34	-35	0	-28	0	7.00	-25	0	10.00	-38	0	3.00	-35	0	0.00	
135	4	46.34	-35	0	-28	0	7.00	-24	0	11.00	-38	0	3.00	-34	0	1.00	
136	4	46.34	-35	0	-27	0	8.00	-23	0	12.00	-38	0	3.00	-34	0	1.00	
137	4	46.34	-35	0	-27	0	8.00	-22	0	13.00	-38	0	3.00	-33	0	2.00	
138	4	46.34	-35	0	-27	0	8.00	-22	0	13.00	-38	0	3.00	-33	0	2.00	
139	4	46.34	-35	0	-27	0	8.00	-21	0	14.00	-38	0	3.00	-33	0	2.00	
140	4	46.34	-35	0	-26	0	9.00	-20	0	15.00	-38	0	3.00	-32	0	3.00	
141	4	46.34	-35	0	-26	0	9.00	-19	0	16.00	-38	0	3.00	-32	0	3.00	
142	4	46.34	-35	0	-26	0	9.00	-19	0	16.00	-38	0	3.00	-31	0	4.00	
143	4	46.34	-35	0	-26	0	9.00	-18	0	17.00	-38	0	3.00	-31	0	4.00	
144	4	46.34	-35	0	-25	0	10.00	-17	0	18.00	-38	0	3.00	-30	0	5.00	
145	4	46.34	-35	0	-25	0	10.00	-16	0	19.00	-38	0	3.00	-30	0	5.00	
146	4	46.34	-35	0	-25	0	10.00	-16	0	19.00	-38	0	3.00	-29	0	6.00	
147	4	46.34	-35	0	-25	0	10.00	-15	0	20.00	-38	0	3.00	-29	0	6.00	
148	4	46.34	-35	0	-24	0	11.00	-14	0	21.00	-38	0	3.00	-28	0	7.00	
149	4	46.34	-35	0	-24	0	11.00	-13	0	22.00	-38	0	3.00	-28	0	7.00	
150	4	46.34	-34	0	-24	0	10.00	-13	0	21.00	-38	0	4.00	-28	0	6.00	
151	4	46.34	-33	0	-24	0	9.00	-12	0	21.00	-38	0	5.00	-27	0	6.00	
152	4	46.34	-33	0	-23	0	10.00	-11	0	22.00	-38	0	5.00	-27	0	6.00	
153	4	46.34	-33	0	-23	0	10.00	-10	0	23.00	-38	0	5.00	-26	0	7.00	
154	4	46.34	-33	0	-23	0	10.00	-10	0	23.00	-38	0	5.00	-26	0	7.00	
155	4	46.34	-33	0	-23	0	10.00	-9	0	24.00	-38	0	5.00	-25	0	8.00	
156	4	46.34	-33	0	-22	0	11.00	-8	0	25.00	-38	0	5.00	-25	0	8.00	
157	4	46.34	-33	0	-22	0	11.00	-7	0	26.00	-38	0	5.00	-24	0	9.00	
158	4	46.34	-34	0	-22	0	12.00	-7	0	27.00	-38	0	4.00	-24	0	10.00	
159	4	46.34	-34	0	-22	0	12.00	-7	0	27.00	-38	0	4.00	-24	0	10.00	
160	5	46.64	-33	0	-31	0	2.00	-31	0	2.00	-35	0	2.00	-35	0	2.00	
161	5	46.64	-33	0	-31	0	2.00	-31	0	2.00	-35	0	2.00	-35	0	2.00	
162	5	46.64	-33	0	-31	0	2.00	-31	0	2.00	-35	0	2.00	-36	0	3.00	
163	5	46.62	-31	0	-31	0	0.00	-31	0	0.00	-35	0	4.00	-37	0	6.00	
164	5	46.62	-31	0	-31	0	0.00	-31	0	0.00	-35	0	4.00	-37	0	6.00	
165	5	46.61	-30	0	-31	0	1.00	-31	0	1.00	-35	0	5.00	-38	0	8.00	
166	5	46.60	-29	0	-31	0	2.00	-31	0	2.00	-35	0	6.00	-39	0	10.00	
167	5	46.60	-29	0	-31	0	2.00	-31	0	2.00	-35	0	6.00	-39	0	10.00	
168	5	46.59	-28	0	-31	0	3.00	-32	0	4.00	-35	0	7.00	-40	0	12.00	
