fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2	est_phi_ins	est_theta_ins	err_ins	est_phi_ins_2	est_theta_ins_2	err_ins_2
131	4	45.26	-35	11	-29	13	6.20	-27	14	8.37	-38	5	6.69	-36	5	6.08	
132	4	45.26	-35	11	-28	14	7.46	-26	15	9.64	-38	5	6.69	-36	6	5.10	
133	4	45.26	-35	11	-28	14	7.46	-25	15	10.53	-38	5	6.69	-35	6	5.00	
134	4	45.26	-35	11	-28	14	7.46	-25	16	10.93	-38	5	6.69	-35	6	5.00	
135	4	45.26	-35	11	-28	14	7.46	-24	16	11.80	-38	5	6.69	-34	7	4.12	
136	4	45.26	-35	10	-27	15	9.27	-23	17	13.60	-38	5	5.82	-34	7	3.16	
137	4	45.26	-35	10	-27	15	9.27	-22	18	14.93	-38	5	5.82	-33	7	3.59	
138	4	45.26	-35	10	-27	15	9.27	-22	18	14.93	-38	5	5.82	-33	8	2.81	
139	4	45.26	-35	10	-27	15	9.27	-21	18	15.75	-38	5	5.82	-33	8	2.81	
140	4	45.26	-35	10	-26	16	10.62	-20	20	17.58	-38	5	5.82	-32	8	3.57	
141	4	45.26	-35	10	-26	16	10.62	-19	20	18.38	-38	5	5.82	-32	9	3.12	
142	4	45.26	-35	10	-26	16	10.62	-19	20	18.38	-38	5	5.82	-31	9	4.07	
143	4	45.26	-35	10	-26	16	10.62	-18	21	19.70	-38	5	5.82	-31	9	4.07	
144	4	45.26	-35	10	-25	17	11.97	-17	22	21.02	-38	5	5.82	-30	10	4.92	
145	4	45.26	-35	9	-25	17	12.60	-16	23	22.96	-38	5	4.99	-30	10	5.03	
146	4	45.26	-35	8	-25	17	13.27	-16	23	23.61	-38	5	4.23	-29	10	6.25	
147	4	45.26	-35	8	-25	17	13.27	-15	23	24.36	-38	5	4.23	-29	11	6.63	
148	4	45.26	-35	6	-24	18	16.10	-14	25	27.67	-38	5	3.15	-28	11	8.54	
149	4	45.26	-35	6	-24	18	16.10	-13	25	28.37	-38	5	3.15	-28	11	8.54	
150	4	45.27	-34	4	-24	18	17.08	-13	25	29.13	-38	5	4.11	-28	12	9.96	
151	4	45.28	-33	4	-24	18	16.54	-12	26	29.82	-38	5	5.08	-27	12	9.96	
152	4	45.28	-33	4	-23	19	17.90	-11	27	31.15	-38	5	5.08	-27	12	9.96	
153	4	45.28	-33	3	-23	19	18.75	-10	27	32.56	-38	5	5.37	-26	13	12.16	
154	4	45.28	-33	3	-23	19	18.75	-10	28	33.26	-38	5	5.37	-26	13	12.16	
