304	376	544	776	1392	2744	4520	
336	456	712	1192	1816	3104	5232	
256	360	472	776	1240	2280	3976	
712	1016	1408	2000	2848	4456	7216	
168	224	432	664	1296	2264	3952	
272	320	328	520	864	1424	2792	
120	144	280	456	688	1240	2280	
416	488	568	712	1008	1616	2464	
120	104	128	152	216	504	1152	
80	80	128	344	600	1184	1992	
80	152	208	344	576	1328	2600	
408	472	520	728	936	1672	2808	
88	80	104	184	376	736	1600	
96	128	216	336	600	1264	2344	
104	264	184	400	672	1248	2552	
440	496	616	864	1320	2048	3272	
80	80	136	280	768	1456	2352	
80	160	272	448	624	1360	2408	
144	200	296	440	656	1272	2336	
432	560	768	1040	1760	2736	4592	
104	136	248	504	816	1416	2568	
104	232	344	464	760	1312	2352	
264	280	472	696	1160	1984	3512	
576	768	1040	1464	2200	3424	5664	
208	320	496	800	1160	2328	3976	
304	304	544	872	1400	2776	4688	
240	368	552	768	1488	2480	4496	
808	1080	1512	2192	3168	4800	7320	
264	424	608	880	1472	2736	4880	
360	456	600	968	1560	2816	5128	
280	456	752	1400	2112	3664	6368	
984	1456	2024	3176	4688	6800	10152	
280	448	456	904	1480	2656	5048	
248	488	888	1296	1880	3160	5136	
336	584	832	1320	1944	3800	5800	
1032	1600	2368	3264	5000	7504	12080	
400	632	1024	1712	3016	5088	8560	
408	632	832	1240	2168	3504	5944	
448	632	888	1352	2144	3664	6120	
1064	1456	2136	3216	4536	6744	10392	
416	600	944	1408	2352	4200	7112	
472	616	1072	1592	2496	4304	7096	
480	608	904	1488	2200	3664	6568	
1064	1440	2104	2944	4192	6448	9536	
456	704	1048	1768	2880	4728	7992	
616	792	1280	1936	3096	5280	8392	
752	896	1368	2160	3440	5104	8064	
1280	2040	2896	4080	5792	8488	13072	
840	1240	1936	2752	4040	6144	9440	
1080	1672	2448	3928	6008	9048	13824	
1184	1600	2472	3640	5456	8096	12480	
1736	2720	4128	6104	9104	13096	19824	
1160	1552	2536	3712	5560	8416	12776	
1048	1816	2632	4032	6344	10120	15088	
1184	1864	3128	4648	7472	12256	20256	
2080	3272	5048	7544	11152	16704	24824	
848	1368	2088	3512	5608	8920	12944	
976	1616	2688	4416	7216	11336	17096	
784	1464	2480	3792	6224	9792	14752	
2336	3840	5864	8936	12696	19016	28864	
672	1584	2584	3824	6544	11200	18024	
712	1040	1760	2912	5384	9040	14944	
712	1032	1952	3184	5304	9072	15200	
1736	2784	4520	6776	10144	15544	23128	
464	864	1456	2520	4400	7160	11160	
576	824	1544	2632	3976	7184	12472	
544	992	1560	2584	4176	7248	12480	
1744	2696	3984	5952	8720	13328	20712	
600	1104	1464	2328	3592	5864	8840	
856	1368	2224	3440	5368	9016	14672	
720	1264	1824	3104	4800	7928	12464	
1864	2872	4368	6488	9208	13768	21440	
648	960	1344	2088	3896	6472	10576	
584	928	1312	2344	3696	6304	11792	
424	568	960	1240	2264	4008	6760	
1608	2552	3848	5760	8880	13384	20904	
488	688	864	1304	2352	4312	8336	
376	680	952	1496	2512	4760	8664	
296	520	824	1360	2176	4208	7944	
1224	1816	2440	3528	5256	7912	12560	
280	432	608	1160	1936	3456	6584	
320	528	712	1072	1880	3360	6160	
376	592	904	1152	1968	3736	7304	
1064	1696	2256	3160	4856	6992	11096	
352	352	624	896	1456	2784	5064	
272	432	592	928	1640	3320	5592	
368	488	760	1120	1856	3160	6680	
1080	1552	2024	2920	4424	6664	10744	
288	344	616	1216	2032	3944	7240	
200	440	488	744	1360	2880	5424	
240	312	448	920	1392	2672	5448	
984	1432	1960	2816	4192	6416	9976	
192	360	496	840	1344	2672	4968	
208	280	616	816	1360	2688	5064	
504	608	920	1088	1544	3264	5568	
960	1424	1784	2360	3472	5080	8488	
288	328	520	632	1024	1952	4192	
144	208	368	496	992	1880	3296	
160	224	448	576	960	1768	3696	
1008	1360	1808	2312	3432	4992	8384	
280	384	872	928	1864	3024	5976	
592	816	1032	1512	2176	4256	7560	
688	872	1088	1640	2448	3960	7304	
1152	1568	2168	2848	4120	5896	9352	
424	656	1048	1440	2016	3824	7048	
480	656	904	1280	2328	3888	7112	
320	440	656	1024	1472	2784	5568	
1080	1528	1864	2552	3808	5736	8776	
256	464	656	1016	1816	3144	6200	
448	552	1048	1488	2504	4160	7160	
408	616	632	1176	1608	2936	4872	
1096	1576	2248	3088	4424	6688	10608	
280	448	632	1056	1536	3432	5680	
